/Display_name,/Product_code,/Version
libassuan0:amd64,,2.5.1-2
libasyncns0:amd64,,0.8-6
libatasmart4:amd64,,0.19-4
libatk-adaptor:amd64,,2.26.2-1
libatk-bridge2.0-0:amd64,,2.26.2-1
libatk-wrapper-java,,0.33.3-20ubuntu0.1
libatk-wrapper-java-jni:amd64,,0.33.3-20ubuntu0.1
libatk1.0-0:amd64,,2.28.1-1
libatk1.0-data,,2.28.1-1
libatkmm-1.6-1v5:amd64,,2.24.2-3
libatm1:amd64,,1:2.5.1-2build1
libatomic1:amd64,,8.4.0-1ubuntu1~18.04
libatspi2.0-0:amd64,,2.28.0-1
libattr1:amd64,,1:2.4.47-2build1
libaudio2:amd64,,1.9.4-6
libaudit-common,,1:2.8.2-1ubuntu1
libaudit1:amd64,,1:2.8.2-1ubuntu1
libauthen-sasl-perl,,2.1600-1
libavahi-client3:amd64,,0.7-3.1ubuntu1.3
libavahi-common-data:amd64,,0.7-3.1ubuntu1.3
libavahi-common3:amd64,,0.7-3.1ubuntu1.3
libavahi-core7:amd64,,0.7-3.1ubuntu1.3
libavahi-glib1:amd64,,0.7-3.1ubuntu1.3
libavahi-ui-gtk3-0:amd64,,0.7-3.1ubuntu1.3
libavc1394-0:amd64,,0.5.4-4build1
libbabeltrace1:amd64,,1.5.5-1
libbind9-160:amd64,,1:9.11.3+dfsg-1ubuntu1.16
libbinutils:amd64,,2.30-21ubuntu1~18.04.7
libblkid1:amd64,,2.31.1-0.4ubuntu3.7
libblockdev-crypto2:amd64,,2.16-2
libblockdev-fs2:amd64,,2.16-2
libblockdev-loop2:amd64,,2.16-2
libblockdev-part-err2:amd64,,2.16-2
libblockdev-part2:amd64,,2.16-2
libblockdev-swap2:amd64,,2.16-2
libblockdev-utils2:amd64,,2.16-2
libblockdev2:amd64,,2.16-2
libbluetooth3:amd64,,5.48-0ubuntu3.5
libboost-date-time1.65.1:amd64,,1.65.1+dfsg-0ubuntu5
libboost-filesystem1.65.1:amd64,,1.65.1+dfsg-0ubuntu5
libboost-iostreams1.65.1:amd64,,1.65.1+dfsg-0ubuntu5
libboost-locale1.65.1:amd64,,1.65.1+dfsg-0ubuntu5
libboost-system1.65.1:amd64,,1.65.1+dfsg-0ubuntu5
libboost-thread1.65.1:amd64,,1.65.1+dfsg-0ubuntu5
libbrlapi0.6:amd64,,5.5-4ubuntu2
libbrotli1:amd64,,1.0.3-1ubuntu1.3
libbsd0:amd64,,0.8.7-1ubuntu0.1
libbsf-java,,1:2.4.0-5build1
libbz2-1.0:amd64,,1.0.6-8.1ubuntu0.2
libc-ares2:amd64,,1.14.0-1
libc-bin,,2.27-3ubuntu1.2
